,2013; Female,2013; Male,2012; Female,2012; Male,2000; Female,2000; Male,1990; Female,1990; Male,Age Group,Indicator
132,81.1,76.4,81.0,76.2,79.6,74.2,78.9,71.9,1 year,ex 
133,80.6,75.9,80.5,75.7,79.1,73.8,78.6,71.7, 1-4 years,ex 
134,76.6,72.0,76.5,71.8,75.2,69.9,74.7,67.8, 5-9 years,ex 
135,71.7,67.0,71.6,66.9,70.2,65.0,69.8,62.9, 10-14 years,ex 
136,66.7,62.1,66.6,61.9,65.3,60.1,64.8,58.0, 15-19  years,ex 
137,61.8,57.3,61.7,57.2,60.4,55.3,60.0,53.4, 20-24 years,ex 
138,56.9,52.7,56.9,52.5,55.5,50.7,55.1,48.8, 25-29 years,ex 
139,52.1,48.0,52.0,47.9,50.7,46.0,50.3,44.2, 30-34 years,ex 
140,47.3,43.3,47.2,43.2,45.8,41.3,45.5,39.7, 35-39 years,ex 
141,42.5,38.6,42.4,38.5,41.1,36.7,40.8,35.2, 40-44 years,ex 
142,37.8,34.1,37.7,34.0,36.4,32.3,36.1,30.8, 45-49 years,ex 
143,33.2,29.7,33.2,29.6,31.9,27.9,31.5,26.5, 50-54 years,ex 
144,28.8,25.5,28.7,25.4,27.4,23.8,27.2,22.4, 55-59 years,ex 
145,24.5,21.5,24.4,21.5,23.2,19.8,23.0,18.6, 60-64 years,ex 
146,20.4,17.8,20.3,17.7,19.2,16.2,19.1,15.2, 65-69 years,ex 
147,16.5,14.3,16.4,14.2,15.5,12.9,15.5,12.2, 70-74 years,ex 
148,13.0,11.1,12.9,11.0,12.1,10.0,12.2,9.5, 75-79 years,ex 
149,9.7,8.2,9.7,8.2,9.1,7.4,9.2,7.2, 80-84 years,ex 
150,7.0,5.9,6.9,5.9,6.5,5.4,6.7,5.4, 85-89 years,ex 
151,4.8,4.1,4.8,4.1,4.6,3.9,4.8,4.0, 90-94 years,ex 
152,3.4,3.0,3.4,3.0,3.3,2.9,3.5,3.1, 95-99 years,ex 
153,2.4,2.2,2.4,2.2,2.4,2.2,2.6,2.4, 100+ years,ex 
