,2013; Female,2013; Male,2012; Female,2012; Male,2000; Female,2000; Male,1990; Female,1990; Male,Age Group,Indicator
110,8113327.0,7639800.0,8101762.0,7624114.0,7956073.0,7423790.0,7892144.0,7193162.0,1 year,Tx 
111,8013804.0,7540376.0,8002257.0,7524708.0,7856649.0,7324483.0,7792891.0,7094098.0, 1-4 years,Tx 
112,7616147.0,7143219.0,7604680.0,7127631.0,7459507.0,6927943.0,7396635.0,6698758.0, 5-9 years,Tx 
113,7119379.0,6647177.0,7108014.0,6631692.0,6963481.0,6432810.0,6901864.0,6205324.0, 10-14 years,Tx 
114,6622897.0,6151510.0,6611639.0,6136134.0,6467827.0,5938195.0,6407572.0,5712595.0, 15-19  years,Tx 
115,6126915.0,5656848.0,6115770.0,5641599.0,5972818.0,5444869.0,5914054.0,5221613.0, 20-24 years,Tx 
116,5631882.0,5164817.0,5620865.0,5149751.0,5478905.0,4954505.0,5421771.0,4734362.0, 25-29 years,Tx 
117,5138039.0,4676007.0,5127171.0,4661196.0,4986212.0,4467430.0,4930890.0,4251383.0, 30-34 years,Tx 
118,4645657.0,4190372.0,4634961.0,4175887.0,4495044.0,3983659.0,4441804.0,3773272.0, 35-39 years,Tx 
119,4155270.0,3708331.0,4144771.0,3694238.0,4006126.0,3504080.0,3955117.0,3301120.0, 40-44 years,Tx 
120,3667964.0,3231142.0,3657691.0,3217515.0,3520655.0,3030507.0,3471747.0,2836213.0, 45-49 years,Tx 
121,3185533.0,2761335.0,3175538.0,2748280.0,3040256.0,2565773.0,2993451.0,2380736.0, 50-54 years,Tx 
122,2710332.0,2302830.0,2700704.0,2290526.0,2567267.0,2113470.0,2523317.0,1938982.0, 55-59 years,Tx 
123,2245277.0,1860626.0,2236119.0,1849331.0,2105610.0,1678917.0,2065905.0,1518049.0, 60-64 years,Tx 
124,1794985.0,1440927.0,1786423.0,1430928.0,1661575.0,1270563.0,1627810.0,1128204.0, 65-69 years,Tx 
125,1366794.0,1052411.0,1359011.0,1044000.0,1243939.0,899611.3,1217644.0,781515.8, 70-74 years,Tx 
126,971132.4,706919.5,964390.4,700369.3,864077.4,579881.8,846509.1,491168.0, 75-79 years,Tx 
127,622254.6,418892.6,616890.1,414379.4,536348.6,324980.1,528124.6,268445.2, 80-84 years,Tx 
128,339003.8,204111.7,335287.6,201558.0,279781.8,147178.3,279649.7,120011.4, 85-89 years,Tx 
129,142739.8,73232.7,140694.6,72168.0,111912.6,48984.7,116082.6,40743.9, 90-94 years,Tx 
130,41218.4,17169.4,40433.9,16891.7,30654.0,10914.1,34373.1,9778.1, 95-99 years,Tx 
131,7106.5,2371.0,6930.2,2326.5,5085.1,1482.6,6551.1,1544.0, 100+ years,Tx 
